Image: C:\Programas\ImageJ\plugins\wavelet-haar\imgs\Filtered\BARK1.tif, distance: 0.0, features vector: (28940300, -855975, 4643411, -277066, 4384187, -272972, 4235396, -270793, 17002261, -1090841, 16890834, -1088717, 16785909, -1089234, 67071966, -4355356, 66976942, -4352672, 66950161, -4353876)
Image: BARK1.tif, distance: 0.0, features vector: (28940300, -855975, 4643411, -277066, 4384187, -272972, 4235396, -270793, 17002261, -1090841, 16890834, -1088717, 16785909, -1089234, 67071966, -4355356, 66976942, -4352672, 66950161, -4353876)
Image: BARK3.tif, distance: 6142523.13952678, features vector: (27979223, -838009, 4869929, -284935, 4613741, -281802, 4467354, -280274, 17801594, -1122360, 17763938, -1123823, 17634753, -1123133, 70443935, -4489758, 70389617, -4488927, 70334242, -4488965)
Image: BARK5.tif, distance: 7743859.257730578, features vector: (31601497, -906578, 4767552, -280899, 4766774, -287122, 4512957, -281936, 18058155, -1131943, 17929488, -1130023, 17781846, -1128786, 71125699, -4516540, 71067702, -4515434, 70976056, -4514276)
Image: BARK4.tif, distance: 9376407.861827219, features vector: (32070397, -917692, 4853843, -284783, 4725239, -286432, 4571091, -284257, 18265036, -1140252, 18180639, -1139877, 18022202, -1138223, 71993876, -4550623, 71963222, -4550631, 71833270, -4547972)
Image: GRASS3.tif, distance: 1.7392580406555537E7, features vector: (37461482, -1020596, 3856943, -250528, 3831665, -250237, 3771966, -251401, 14830879, -1001990, 14829953, -1003443, 14693673, -1002155, 58591163, -4004225, 58538931, -4002638, 58472644, -4002430)
Image: C:\Programas\ImageJ\plugins\wavelet-haar\imgs\Filtered\BARK2.tif, distance: 0.0, features vector: (32670174, -927031, 5538330, -313042, 5377562, -311168, 5249016, -310236, 20950620, -1242953, 20797325, -1239897, 20666008, -1238979, 82673249, -4957948, 82573862, -4955303, 82537745, -4955999)
Image: BARK2.tif, distance: 0.0, features vector: (32670174, -927031, 5538330, -313042, 5377562, -311168, 5249016, -310236, 20950620, -1242953, 20797325, -1239897, 20666008, -1238979, 82673249, -4957948, 82573862, -4955303, 82537745, -4955999)
Image: BARK4.tif, distance: 1.9092197757300943E7, features vector: (32070397, -917692, 4853843, -284783, 4725239, -286432, 4571091, -284257, 18265036, -1140252, 18180639, -1139877, 18022202, -1138223, 71993876, -4550623, 71963222, -4550631, 71833270, -4547972)
Image: BARK5.tif, distance: 2.0678330548797622E7, features vector: (31601497, -906578, 4767552, -280899, 4766774, -287122, 4512957, -281936, 18058155, -1131943, 17929488, -1130023, 17781846, -1128786, 71125699, -4516540, 71067702, -4515434, 70976056, -4514276)
Image: BARK3.tif, distance: 2.235165984527972E7, features vector: (27979223, -838009, 4869929, -284935, 4613741, -281802, 4467354, -280274, 17801594, -1122360, 17763938, -1123823, 17634753, -1123133, 70443935, -4489758, 70389617, -4488927, 70334242, -4488965)
Image: BARK1.tif, distance: 2.8167991953634698E7, features vector: (28940300, -855975, 4643411, -277066, 4384187, -272972, 4235396, -270793, 17002261, -1090841, 16890834, -1088717, 16785909, -1089234, 67071966, -4355356, 66976942, -4352672, 66950161, -4353876)
Image: C:\Programas\ImageJ\plugins\wavelet-haar\imgs\Filtered\BARK3.tif, distance: 0.0, features vector: (27979223, -838009, 4869929, -284935, 4613741, -281802, 4467354, -280274, 17801594, -1122360, 17763938, -1123823, 17634753, -1123133, 70443935, -4489758, 70389617, -4488927, 70334242, -4488965)
Image: BARK3.tif, distance: 0.0, features vector: (27979223, -838009, 4869929, -284935, 4613741, -281802, 4467354, -280274, 17801594, -1122360, 17763938, -1123823, 17634753, -1123133, 70443935, -4489758, 70389617, -4488927, 70334242, -4488965)
Image: BARK5.tif, distance: 3822985.4613915063, features vector: (31601497, -906578, 4767552, -280899, 4766774, -287122, 4512957, -281936, 18058155, -1131943, 17929488, -1130023, 17781846, -1128786, 71125699, -4516540, 71067702, -4515434, 70976056, -4514276)
Image: BARK4.tif, distance: 4944038.031150022, features vector: (32070397, -917692, 4853843, -284783, 4725239, -286432, 4571091, -284257, 18265036, -1140252, 18180639, -1139877, 18022202, -1138223, 71993876, -4550623, 71963222, -4550631, 71833270, -4547972)
Image: BARK1.tif, distance: 6142523.13952678, features vector: (28940300, -855975, 4643411, -277066, 4384187, -272972, 4235396, -270793, 17002261, -1090841, 16890834, -1088717, 16785909, -1089234, 67071966, -4355356, 66976942, -4352672, 66950161, -4353876)
Image: BARK2.tif, distance: 2.235165984527972E7, features vector: (32670174, -927031, 5538330, -313042, 5377562, -311168, 5249016, -310236, 20950620, -1242953, 20797325, -1239897, 20666008, -1238979, 82673249, -4957948, 82573862, -4955303, 82537745, -4955999)
Image: C:\Programas\ImageJ\plugins\wavelet-haar\imgs\Filtered\BARK4.tif, distance: 0.0, features vector: (32070397, -917692, 4853843, -284783, 4725239, -286432, 4571091, -284257, 18265036, -1140252, 18180639, -1139877, 18022202, -1138223, 71993876, -4550623, 71963222, -4550631, 71833270, -4547972)
Image: BARK4.tif, distance: 0.0, features vector: (32070397, -917692, 4853843, -284783, 4725239, -286432, 4571091, -284257, 18265036, -1140252, 18180639, -1139877, 18022202, -1138223, 71993876, -4550623, 71963222, -4550631, 71833270, -4547972)
Image: BARK5.tif, distance: 1640275.230009954, features vector: (31601497, -906578, 4767552, -280899, 4766774, -287122, 4512957, -281936, 18058155, -1131943, 17929488, -1130023, 17781846, -1128786, 71125699, -4516540, 71067702, -4515434, 70976056, -4514276)
Image: BARK3.tif, distance: 4944038.031150022, features vector: (27979223, -838009, 4869929, -284935, 4613741, -281802, 4467354, -280274, 17801594, -1122360, 17763938, -1123823, 17634753, -1123133, 70443935, -4489758, 70389617, -4488927, 70334242, -4488965)
Image: BARK1.tif, distance: 9376407.861827219, features vector: (28940300, -855975, 4643411, -277066, 4384187, -272972, 4235396, -270793, 17002261, -1090841, 16890834, -1088717, 16785909, -1089234, 67071966, -4355356, 66976942, -4352672, 66950161, -4353876)
Image: BARK2.tif, distance: 1.9092197757300943E7, features vector: (32670174, -927031, 5538330, -313042, 5377562, -311168, 5249016, -310236, 20950620, -1242953, 20797325, -1239897, 20666008, -1238979, 82673249, -4957948, 82573862, -4955303, 82537745, -4955999)
Image: C:\Programas\ImageJ\plugins\wavelet-haar\imgs\Filtered\BARK5.tif, distance: 0.0, features vector: (31601497, -906578, 4767552, -280899, 4766774, -287122, 4512957, -281936, 18058155, -1131943, 17929488, -1130023, 17781846, -1128786, 71125699, -4516540, 71067702, -4515434, 70976056, -4514276)
Image: BARK5.tif, distance: 0.0, features vector: (31601497, -906578, 4767552, -280899, 4766774, -287122, 4512957, -281936, 18058155, -1131943, 17929488, -1130023, 17781846, -1128786, 71125699, -4516540, 71067702, -4515434, 70976056, -4514276)
Image: BARK4.tif, distance: 1640275.230009954, features vector: (32070397, -917692, 4853843, -284783, 4725239, -286432, 4571091, -284257, 18265036, -1140252, 18180639, -1139877, 18022202, -1138223, 71993876, -4550623, 71963222, -4550631, 71833270, -4547972)
Image: BARK3.tif, distance: 3822985.4613915063, features vector: (27979223, -838009, 4869929, -284935, 4613741, -281802, 4467354, -280274, 17801594, -1122360, 17763938, -1123823, 17634753, -1123133, 70443935, -4489758, 70389617, -4488927, 70334242, -4488965)
Image: BARK1.tif, distance: 7743859.257730578, features vector: (28940300, -855975, 4643411, -277066, 4384187, -272972, 4235396, -270793, 17002261, -1090841, 16890834, -1088717, 16785909, -1089234, 67071966, -4355356, 66976942, -4352672, 66950161, -4353876)
Image: BARK2.tif, distance: 2.0678330548797622E7, features vector: (32670174, -927031, 5538330, -313042, 5377562, -311168, 5249016, -310236, 20950620, -1242953, 20797325, -1239897, 20666008, -1238979, 82673249, -4957948, 82573862, -4955303, 82537745, -4955999)
